country;central_bank_name;name;position;start_year;end_year;source_dataset;source_method;source_page;source_detail
Barbados;Central Bank of Barbados;Calvin Springer;President / Governor;1992;1997;kof;kof_workbook_governors_v2023;https://www.centralbank.org.bb;BRB
Barbados;Central Bank of Barbados;Winston Cox;President / Governor;1997;1999;kof;kof_workbook_governors_v2023;https://www.centralbank.org.bb;BRB
Barbados;Central Bank of Barbados;Marion Williams;President / Governor;1999;2009;kof;kof_workbook_governors_v2023;https://www.centralbank.org.bb;BRB
Barbados;Central Bank of Barbados;Cleviston Haynes;President / Governor;2017;2023;kof;kof_workbook_governors_v2023;https://www.centralbank.org.bb;BRB
Barbados;Central Bank of Barbados;Kevin Greenidge;President / Governor;2023;En cargo;kof;kof_workbook_governors_v2023;https://www.centralbank.org.bb;BRB
Belarus;National Bank of the Republic of Belarus;Stanislav A. Bogdankevich;President / Governor;1991;1995;kof;kof_workbook_governors_v2023;https://www.nbrb.by;BLR
Belarus;National Bank of the Republic of Belarus;Tamara D. Vinnikova;President / Governor;1996;1997;kof;kof_workbook_governors_v2023;https://www.nbrb.by;BLR
Belarus;National Bank of the Republic of Belarus;Gennady S. Aleynikov;President / Governor;1997;1998;kof;kof_workbook_governors_v2023;https://www.nbrb.by;BLR
Belarus;National Bank of the Republic of Belarus;Pyotr P. Prakapovich;President / Governor;1998;2011;kof;kof_workbook_governors_v2023;https://www.nbrb.by;BLR
Belarus;National Bank of the Republic of Belarus;Nadezhda A. Yermakova;President / Governor;2011;2014;kof;kof_workbook_governors_v2023;https://www.nbrb.by;BLR
Belarus;National Bank of the Republic of Belarus;Pavel V. Kallaur;President / Governor;2014;En cargo;kof;kof_workbook_governors_v2023;https://www.nbrb.by;BLR
Belgium;European Central Bank ( National Bank of Belgium );Hubert Ansiaux;President / Governor;1957;1971;kof;kof_workbook_governors_v2023;https://www.nbb.be;BEL
Belgium;European Central Bank ( National Bank of Belgium );Robert Vandeputte;President / Governor;1971;1975;kof;kof_workbook_governors_v2023;https://www.nbb.be;BEL
Belgium;European Central Bank ( National Bank of Belgium );Cecil de Strycker;President / Governor;1975;1982;kof;kof_workbook_governors_v2023;https://www.nbb.be;BEL
Belgium;European Central Bank ( National Bank of Belgium );Jean Godeaux;President / Governor;1982;1989;kof;kof_workbook_governors_v2023;https://www.nbb.be;BEL
Belgium;European Central Bank ( National Bank of Belgium );Alfons Verplaetse;President / Governor;1989;1999;kof;kof_workbook_governors_v2023;https://www.nbb.be;BEL
Belgium;European Central Bank ( National Bank of Belgium );Guy Quaden;President / Governor;1999;2011;kof;kof_workbook_governors_v2023;https://www.nbb.be;BEL
Belgium;European Central Bank ( National Bank of Belgium );Luc Coene;President / Governor;2011;2015;kof;kof_workbook_governors_v2023;https://www.nbb.be;BEL
Belgium;European Central Bank ( National Bank of Belgium );Jan Smets;President / Governor;2015;2019;kof;kof_workbook_governors_v2023;https://www.nbb.be;BEL
Belgium;European Central Bank ( National Bank of Belgium );Pierre Wunsch;President / Governor;2019;En cargo;kof;kof_workbook_governors_v2023;https://www.nbb.be;BEL
