PName_original;PName;iso3;first;last;iso3Birth;Start_year;Start_month;End_year;End_month;Position;Sex;Birth_year;Birth_month;Education;BA_or_MA;MBA;PhD;CountryBirth;CityBirth
Mustafa Kamal Mujeri;Mustafa Mujeri;BGD;mustafa;mujeri;BGD;;;;;0;0;;;;;;;;
A. K. M. Aftab ul Islam;A Islam;BGD;a;islam;BGD;;;;;0;0;;;;;;;;
Dr. Atiur Rahman;Atiur Rahman;BGD;atiur;rahman;BGD;2009;5;2016;3;2;0;1953;12;2;;;;Bangladesh;Jamalpur District
Mohammad Ali Taslim;Mohammad Taslim;BGD;mohammad;taslim;BGD;;;;;2;0;;;;;;;;
Ahsan H. Mansur;Ahsan Mansur;BGD;ahsan;mansur;BGD;;;;;2;0;1950;;3;University of;;;Pakistan;1950/1951 (age 74–75) East Bengal
Abul Quasem;Abul Quasem;BGD;abul;quasem;BGD;;;;;2;0;;;;;;;;
S. M. Mahfuzur Rahman;S Rahman;BGD;s;rahman;BGD;;;;;0;0;;;;;;;;
Sadiq Ahmed;Sadiq Ahmed;BGD;sadiq;ahmed;BGD;;;;;0;0;;;;;;;;
Nazrul Huda;Nazrul Huda;BGD;nazrul;huda;BGD;;;;;0;0;;;;;;;;
Dr. Salehuddin Ahmed;Nasiruddin Ahmed;BGD;nasiruddin;ahmed;BGD;;;;;0;0;;;;;;;;
Rushidan Islam Rahman;Rushidan Rahman;BGD;rushidan;rahman;BGD;;;;;0;0;;;;;;;;
Mohammad Tareque;Mohammad Tareque;BGD;mohammad;tareque;BGD;;;;;0;0;;;;;;;;
Shafiqur Rahman Patwari;Shafiqur Patwari;BGD;shafiqur;patwari;BGD;;;;;0;0;;;;;;;;
Fazle Kabir;Fazle Kabir;BGD;fazle;kabir;BGD;2016;3;2022;7;2;0;1955;7;3;Cadet College;;;Bangladesh;Dhaka
Musharraf Hossain Bhuiyan;Musharraf Bhuiyan;BGD;musharraf;bhuiyan;BGD;;;;;2;0;;;;;;;;
Kazi Muktadir;Kazi Muktadir;BGD;kazi;muktadir;BGD;;;;;1;0;;;;;;;;
Hedayetullah Al Mamoon;Hedayetullah Mamoon;BGD;hedayetullah;mamoon;BGD;;;;;0;0;;;;;;;;
Hedayetullah Mamoon;Hedayetullah Mamoon;BGD;hedayetullah;mamoon;BGD;;;;;2;0;;;;;;;;
Mohammad Muslim Chowdhury;Mohammad Chowdhury;BGD;mohammad;chowdhury;BGD;;;;;0;0;;;;;;;;
Nojibur Rahman;Nojibur Rahman;BGD;nojibur;rahman;BGD;;;;;0;0;;;;;;;;
Ahmed Jamal;Ahmed Jamal;BGD;ahmed;jamal;BGD;;;;;1;0;;;;;;;;
A.K.N. Ahmed;Salehuddin Ahmed;BGD;salehuddin;ahmed;BGD;;;;;2;0;;;;;;;;
Dr. Salehuddin Ahmed;Salehuddin Ahmed;BGD;salehuddin;ahmed;BGD;;;;;2;0;;;;;;;;
M Khan;M Khan;BGD;m;khan;BGD;;;;;1;0;;;;;;;;
Abu Nasser;Abu Nasser;BGD;abu;nasser;BGD;;;;;1;0;;;;;;;;
Abdur Rouf Talukder;Abdur Talukder;BGD;abdur;talukder;BGD;;;;;0;0;;;;;;;;
