iso3,country,name,position,start_year,end_year,status
BRA,Brazil,Pedro Sampaio Malan,President / Governor,1993,1994,Histórico
BRA,Brazil,Gustavo Franco,President / Governor,1994,1995,Histórico
BRA,Brazil,Persio Arida,President / Governor,1995,1995,Histórico
BRA,Brazil,Gustavo Loyola,President / Governor,1995,1997,Histórico
BRA,Brazil,Gustavo Franco,President / Governor,1997,1999,Histórico
BRA,Brazil,Arminio Fraga Neto,President / Governor,1999,2003,Histórico
BRA,Brazil,Henrique Meirelles,President / Governor,2003,2010,Histórico
BRA,Brazil,Alexandre Antonio Tombini,President / Governor,2011,2016,Histórico
BRA,Brazil,Ilan Goldfajn,President / Governor,2016,2019,Histórico
BRA,Brazil,Roberto Campos Neto,President / Governor,2019,En cargo,Actual
BRN,Brunei,Haji Al-Muhtadee Billah,President / Governor,2011,2021,Histórico
BRN,Brunei,Ahmaddin Abd Rahman,President / Governor,2021,En cargo,Actual
BGR,Bulgaria,Kiril Zarev,President / Governor,1969,1974,Histórico
BGR,Bulgaria,Veselin Nikiforov,President / Governor,1974,1984,Histórico
BGR,Bulgaria,Vasil Kolarov,President / Governor,1984,1989,Histórico
BGR,Bulgaria,Ivan Dragnevski,President / Governor,1989,1991,Histórico
BGR,Bulgaria,Todor Valchev,President / Governor,1991,1996,Histórico
BGR,Bulgaria,Lyubomir Filipov,President / Governor,1996,1997,Histórico
BGR,Bulgaria,Svetoslav Gavriiski,President / Governor,1997,2003,Histórico
BGR,Bulgaria,Ivan Iskrov,President / Governor,2003,2015,Histórico
BGR,Bulgaria,Dimitar Radev,President / Governor,2015,En cargo,Actual
BDI,Burundi,Bonaventure Kidwingira (IFS),President / Governor,1967,1977,Histórico
BDI,Burundi,Elisee Ntahonikora (IFS),President / Governor,1977,1980,Histórico
BDI,Burundi,Aloys Ntahonkiriye (10-80 IFS),President / Governor,1980,1986,Histórico
BDI,Burundi,Isaac Budabuda (3-88 IFS),President / Governor,1987,1992,Histórico
BDI,Burundi,Mathias Sinamenye (5-92 IFS),President / Governor,1992,1998,Histórico
BDI,Burundi,Gregoire Bayiyezako,President / Governor,1998,2003,Histórico
BDI,Burundi,Salvator Toyi,President / Governor,2003,2006,Histórico
BDI,Burundi,Gabriel Ntisezerana,President / Governor,2006,2007,Histórico
BDI,Burundi,Isaac Bizimana,President / Governor,2007,2007,Histórico
BDI,Burundi,Gaspard Sindayigaya,President / Governor,2007,2012,Histórico
BDI,Burundi,Jean Ciza,President / Governor,2012,2022,Histórico
CAN,Canada,Gerald Bouey,President / Governor,1973,1987,Histórico
CAN,Canada,John Crow,President / Governor,1987,1994,Histórico
CAN,Canada,Gordon G. Thiessen,President / Governor,1994,2001,Histórico
CAN,Canada,David A. Dodge,President / Governor,2001,2008,Histórico
CAN,Canada,Mark J. Carney,President / Governor,2008,2013,Histórico
CAN,Canada,Stephen S. Poloz,President / Governor,2013,2020,Histórico
CAN,Canada,Tiff Macklem,President / Governor,2020,En cargo,Actual
CPV,Cape Verde,Corentino Santos,President / Governor,1975,1984,Histórico
CPV,Cape Verde,Amaro da Luz,President / Governor,1984,1991,Histórico
CPV,Cape Verde,Oswaldo Sequeira,President / Governor,1991,1999,Histórico
CPV,Cape Verde,Olavo Correia,President / Governor,1999,2004,Histórico
CPV,Cape Verde,Carlos Augusto de Burgo,President / Governor,2004,2014,Histórico
CPV,Cape Verde,Oscar Humberto Evora Santos,President / Governor,2021,En cargo,Actual
CAF,Central African Republic,Georges Gautier,President / Governor,1955,1972,Histórico
CAF,Central African Republic,Casimir Oye Mba,President / Governor,1978,1990,Histórico
CAF,Central African Republic,Jean-Félix Mamalepot,President / Governor,1990,2007,Histórico
CAF,Central African Republic,Philibert Andzembe,President / Governor,2007,2010,Histórico
CAF,Central African Republic,Lucas Abaga Nchama,President / Governor,2010,2017,Histórico
CAF,Central African Republic,Abbas Mahamat Tolli,President / Governor,2017,En cargo,Actual
BCEAO,Central Bank of West African States,Abdoulaye Fadiga,President / Governor,1975,1988,Histórico
BCEAO,Central Bank of West African States,Alassane Dramane Ouattara,President / Governor,1988,1990,Histórico
BCEAO,Central Bank of West African States,"Charles Konan Banny (1990 ad iterim, 01-01-1994 officially, 01-01-2000 reapp.)",President / Governor,1990,2005,Histórico
BCEAO,Central Bank of West African States,Justin Damo Baro (ad iterim),President / Governor,2005,2008,Histórico
BCEAO,Central Bank of West African States,Philippe-Henri Dacoury-Tabley,President / Governor,2008,2011,Histórico
BCEAO,Central Bank of West African States,Tiémoko Meyliet Kone,President / Governor,2011,2022,Histórico
BCEAO,Central Bank of West African States,Jean-Claude Kassi Brou,President / Governor,2022,En cargo,Actual
CHL,Chile,Alfonso Inostroza Cuevas,President / Governor,1970,1973,Histórico
CHL,Chile,Carlos Matus Romo,President / Governor,1973,1973,Histórico
