search_name;iso3;position_original;wikipedia_title;wikipedia_person_url;wikipedia_qid;match_score;match_reason
Juan Fabrega;ARG;President / Governor;Juan Carlos Fábrega;https://en.wikipedia.org/wiki/Juan_Carlos_Fábrega;Q15216933;34.74193548387097;partial_title|name_similarity:0.77|econ_context|country_hint|role_hint
Aldo Pignanelli;ARG;President / Governor;Aldo Pignanelli;https://en.wikipedia.org/wiki/Aldo_Pignanelli;Q5664480;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint
Nestor Kirchner;ARG;President / Governor;Néstor Kirchner;https://en.wikipedia.org/wiki/Néstor_Kirchner;Q170899;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint
Cristina Kirchner;ARG;President / Governor;Cristina Fernández de Kirchner;https://en.wikipedia.org/wiki/Cristina_Fernández_de_Kirchner;Q40649;34.234042553191486;partial_title|name_similarity:0.72|econ_context|country_hint|role_hint
Alberto Fernandez;ARG;Vice-president / Deputy-governor;Alberto Fernández;https://en.wikipedia.org/wiki/Alberto_Fernández;Q2642828;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint
Mauricio Macri;ARG;President / Governor;Mauricio Macri;https://en.wikipedia.org/wiki/Mauricio_Macri;Q561837;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint
Martin Redrado;ARG;Board member;Martín Redrado;https://en.wikipedia.org/wiki/Martín_Redrado;Q952055;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint
Alejandro Vanoli;ARG;President / Governor;Alejandro Vanoli;https://en.wikipedia.org/wiki/Alejandro_Vanoli;Q18218133;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint
Luis Caputo;ARG;President / Governor;Luis Caputo;https://en.wikipedia.org/wiki/Luis_Caputo;Q28058800;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint
Federico Sturzenegger;ARG;President / Governor;Federico Sturzenegger;https://en.wikipedia.org/wiki/Federico_Sturzenegger;Q16302129;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint
Guido Sandleris;ARG;President / Governor;Guido Sandleris;https://en.wikipedia.org/wiki/Guido_Sandleris;Q56742850;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint
Santiago Bausili;ARG;President / Governor;Santiago Bausili;https://en.wikipedia.org/wiki/Santiago_Bausili;Q123764093;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint
* Gomez;ARG;President / Governor;Papu Gómez;https://en.wikipedia.org/wiki/Papu_Gómez;Q965846;16.666666666666664;shared_last_name|name_similarity:0.67|country_hint
Grigor Jaghetyan;ARM;President / Governor;Grigor Jaghetyan;https://en.wikipedia.org/wiki/Grigor_Jaghetyan;Q20513008;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint
Isahak Isahakyan;ARM;President / Governor;Isahak Isahakyan;https://en.wikipedia.org/wiki/Isahak_Isahakyan;Q16730071;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint
Bagrat Asatryan;ARM;President / Governor;Bagrat Asatryan;https://en.wikipedia.org/wiki/Bagrat_Asatryan;Q4071171;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint
Tigran Sargsyan;ARM;President / Governor;Tigran Sargsyan;https://en.wikipedia.org/wiki/Tigran_Sargsyan;Q110233;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint
Vache Gabrielyan;ARM;Board member;Vache Gabrielyan;https://en.wikipedia.org/wiki/Vache_Gabrielyan;Q7907998;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint
Vache Gabrielyan;ARM;Vice-president / Deputy-governor;Vache Gabrielyan;https://en.wikipedia.org/wiki/Vache_Gabrielyan;Q7907998;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint
Nerses Yeritsyan;ARM;Vice-president / Deputy-governor;Nerses Yeritsyan;https://en.wikipedia.org/wiki/Nerses_Yeritsyan;Q1985828;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint
Arkadi Khachatryan;ARM;Board member;Arkadi Khachatryan;https://en.wikipedia.org/wiki/Arkadi_Khachatryan;Q60717461;44.0;exact_title|name_similarity:1.00|country_hint|role_hint
Martin Galstyan;ARM;President / Governor;Martin Galstyan;https://en.wikipedia.org/wiki/Martin_Galstyan;Q90902573;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint
Grigory Smirnov;ARM;President / Governor;Grigory Smirnov;https://en.wikipedia.org/wiki/Grigory_Smirnov;Q22922400;35.0;exact_title|name_similarity:1.00
Hovhannes Davtyan;ARM;President / Governor;Hovhannes Davtyan (actor);https://en.wikipedia.org/wiki/Hovhannes_Davtyan_(actor);Q24702860;30.5;strong_title|name_similarity:0.85|country_hint
Arthur Stepanyan;ARM;Board member;Arthur Stepanyan;https://en.wikipedia.org/wiki/Arthur_Stepanyan;Q4442019;39.0;exact_title|name_similarity:1.00|country_hint
Herbert Coombs;AUS;President / Governor;H. C. Coombs;https://en.wikipedia.org/wiki/H._C._Coombs;Q5628110;29.666666666666664;shared_last_name|name_similarity:0.67|econ_context|country_hint|role_hint
John Phillips;AUS;President / Governor;John Phillips;https://en.wikipedia.org/wiki/John_Phillips;Q246456;42.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint|disambiguation_penalty
