PName_original;PName;iso3;first;last;iso3Birth;Start_year;End_year;Start_month;End_month;Position;Sex;Birth_year;Education;BA_or_MA;MBA;PhD;CountryBirth;CityBirth;wikipedia_url;Birth_month
Grigor Jaghetyan;Grigor Jaghetyan;ARM;grigor;jaghetyan;ARM;;;;;2;0;;;;;;;;;
Andrey Papovyan;Andrey Papovyan;ARM;andrey;papovyan;ARM;;;;;2;0;;;;;;;;;
Isahak Isahakyan;Isahak Isahakyan;ARM;isahak;isahakyan;ARM;;;;;2;0;;;;;;;;;
Ashot Avetisyan;Ashot Avetisyan;ARM;ashot;avetisyan;ARM;;;;;0;0;;;;;;;;;
Bagrat Asatryan;Bagrat Asatryan;ARM;bagrat;asatryan;ARM;;;;;2;0;;;;;;;;;
Armenak Darbinyan;Armenak Darbinyan;ARM;armenak;darbinyan;ARM;;;;;0;0;;;;;;;;;
Grigor Ghonjeyan;Grigor Ghonjeyan;ARM;grigor;ghonjeyan;ARM;;;;;0;0;;;;;;;;;
Tigran Sargsyan;Tigran Sargsyan;ARM;tigran;sargsyan;ARM;;;;;2;0;;;;;;;;;
Andranik Norekyan;Andranik Norekyan;ARM;andranik;norekyan;ARM;;;;;2;0;;;;;;;;;
Arthur Javadyan;Arthur Javadyan;ARM;arthur;javadyan;ARM;;;;;0;0;;;;;;;;;
Arthur Javadyan;Arthur Javadyan;ARM;arthur;javadyan;ARM;;;;;2;0;;;;;;;;;
Karine Minasyan;Karine Minasyan;ARM;karine;minasyan;ARM;;;;;2;1;;;;;;;;;
Vache Gabrielyan;Vache Gabrielyan;ARM;vache;gabrielyan;ARM;;;;;0;0;;;;;;;;;
Vache Gabrielyan;Vache Gabrielyan;ARM;vache;gabrielyan;ARM;;;;;1;0;;;;;;;;;
Nerses Yeritsyan;Nerses Yeritsyan;ARM;nerses;yeritsyan;ARM;;;;;1;0;;;;;;;;;
Arkadi Khachatryan;Arkadi Khachatryan;ARM;arkadi;khachatryan;ARM;;;;;0;0;;;;;;;;;
Martin Galstyan;Martin Galstyan;ARM;martin;galstyan;ARM;;;;;2;0;;;;;;;;;
Armen Nurbekyan;Armen Nurbekyan;ARM;armen;nurbekyan;ARM;;;;;1;0;;;;;;;;;
Grigory Smirnov;Grigory Smirnov;ARM;grigory;smirnov;ARM;;;;;2;0;;;;;;;;;
Anton Krizhijanovsky;Anton Krizhijanovsky;ARM;anton;krizhijanovsky;ARM;;;;;2;0;;;;;;;;;
Nikolai Sannikov;Nikolai Sannikov;ARM;nikolai;sannikov;ARM;;;;;2;0;;;;;;;;;
Constantine Sibani;Constantine Sibani;ARM;constantine;sibani;ARM;;;;;2;0;;;;;;;;;
Vladislav Moravski;Vladislav Moravski;ARM;vladislav;moravski;ARM;;;;;2;0;;;;;;;;;
Martin Sahakyan;Martin Sahakyan;ARM;martin;sahakyan;ARM;;;;;2;0;;;;;;;;;
Garsan Varshamyan;Garsan Varshamyan;ARM;garsan;varshamyan;ARM;;;;;2;0;;;;;;;;;
Hovhannes Davtyan;Hovhannes Davtyan;ARM;hovhannes;davtyan;ARM;;;;;2;0;;;;;;;;;
Vardan Mamikonyan;Vardan Mamikonyan;ARM;vardan;mamikonyan;ARM;;;;;2;0;;;;;;;;;
Arkady Minasyan;Arkady Minasyan;ARM;arkady;minasyan;ARM;;;;;2;0;;;;;;;;;
Sergey Baturi;Sergey Baturi;ARM;sergey;baturi;ARM;;;;;2;0;;;;;;;;;
Riza Velibekov;Riza Velibekov;ARM;riza;velibekov;ARM;;;;;2;0;;;;;;;;;
Tigran Sargsyan;Artashes Sargsyan;ARM;artashes;sargsyan;ARM;;;;;2;0;;;;;;;;;
Stepan Safaryan;Stepan Safaryan;ARM;stepan;safaryan;ARM;;;;;2;0;;;;;;;;;
Vladimir Aghasyan;Vladimir Aghasyan;ARM;vladimir;aghasyan;ARM;;;;;2;0;;;;;;;;;
Ruben L. Valesyan;Ruben Valesyan;ARM;ruben;valesyan;ARM;;;;;0;0;;;;;;;;;
Vardan Movsesyan;Vardan Movsesyan;ARM;vardan;movsesyan;ARM;;;;;0;0;;;;;;;;;
Amalya Saribekyan;Amalya Saribekyan;ARM;amalya;saribekyan;ARM;;;;;0;1;;;;;;;;;
